answerKey,id,question,question_concept,choices,stem
E,ba6449de6d9637a99a978cf97f4d5c0f,"{'question_concept': 'pen', 'choices': [{'label': 'A', 'text': ""friend's house""}, {'label': 'B', 'text': 'paper'}, {'label': 'C', 'text': 'office supply store'}, {'label': 'D', 'text': 'pocket'}, {'label': 'E', 'text': 'classroom'}], 'stem': 'Where do students use a pen?'}",pen,"[{'label': 'A', 'text': ""friend's house""}, {'label': 'B', 'text': 'paper'}, {'label': 'C', 'text': 'office supply store'}, {'label': 'D', 'text': 'pocket'}, {'label': 'E', 'text': 'classroom'}]",Where do students use a pen?
E,9a4039c873d179816f6d6bc43cea2a2d,"{'question_concept': 'banker', 'choices': [{'label': 'A', 'text': 'wall street'}, {'label': 'B', 'text': 'city hall'}, {'label': 'C', 'text': 'monopoly game'}, {'label': 'D', 'text': 'michigan'}, {'label': 'E', 'text': 'country club'}], 'stem': 'Where do investment bankers hang out in the suburbs?'}",banker,"[{'label': 'A', 'text': 'wall street'}, {'label': 'B', 'text': 'city hall'}, {'label': 'C', 'text': 'monopoly game'}, {'label': 'D', 'text': 'michigan'}, {'label': 'E', 'text': 'country club'}]",Where do investment bankers hang out in the suburbs?
A,30d5b111ebacc5f48f7b896ce85dcc2d,"{'question_concept': 'person', 'choices': [{'label': 'A', 'text': 'drink tea'}, {'label': 'B', 'text': 'thank god'}, {'label': 'C', 'text': 'open eyes'}, {'label': 'D', 'text': 'feel angry'}, {'label': 'E', 'text': 'complete sentence'}], 'stem': 'What would a person do if he or she just woke up?'}",person,"[{'label': 'A', 'text': 'drink tea'}, {'label': 'B', 'text': 'thank god'}, {'label': 'C', 'text': 'open eyes'}, {'label': 'D', 'text': 'feel angry'}, {'label': 'E', 'text': 'complete sentence'}]",What would a person do if he or she just woke up?
E,b1f17c81c549694441826bf30e032eef,"{'question_concept': 'person', 'choices': [{'label': 'A', 'text': 'prepare to go'}, {'label': 'B', 'text': 'catch cold'}, {'label': 'C', 'text': 'hunt for food'}, {'label': 'D', 'text': 'they shivered'}, {'label': 'E', 'text': 'feel humiliated'}], 'stem': 'The person was exposed as a liar, so what happened as a result?'}",person,"[{'label': 'A', 'text': 'prepare to go'}, {'label': 'B', 'text': 'catch cold'}, {'label': 'C', 'text': 'hunt for food'}, {'label': 'D', 'text': 'they shivered'}, {'label': 'E', 'text': 'feel humiliated'}]","The person was exposed as a liar, so what happened as a result?"
A,4279383d2ed9350b7d0d46218de17b62,"{'question_concept': 'sheep', 'choices': [{'label': 'A', 'text': 'expensive'}, {'label': 'B', 'text': 'wolf'}, {'label': 'C', 'text': 'wool'}, {'label': 'D', 'text': 'goat'}, {'label': 'E', 'text': 'lamb'}], 'stem': 'When you go to buy a sheep you will learn that it is what?'}",sheep,"[{'label': 'A', 'text': 'expensive'}, {'label': 'B', 'text': 'wolf'}, {'label': 'C', 'text': 'wool'}, {'label': 'D', 'text': 'goat'}, {'label': 'E', 'text': 'lamb'}]",When you go to buy a sheep you will learn that it is what?
E,e7e5f05b8f359cefd60c3ff89a7f9403,"{'question_concept': 'foot', 'choices': [{'label': 'A', 'text': 'fungus'}, {'label': 'B', 'text': 'shoe'}, {'label': 'C', 'text': 'grave'}, {'label': 'D', 'text': 'table'}, {'label': 'E', 'text': 'sock'}], 'stem': 'What would you put on your foot first before anything else?'}",foot,"[{'label': 'A', 'text': 'fungus'}, {'label': 'B', 'text': 'shoe'}, {'label': 'C', 'text': 'grave'}, {'label': 'D', 'text': 'table'}, {'label': 'E', 'text': 'sock'}]",What would you put on your foot first before anything else?
B,77a4a131e9083f6a4c70e8f88df54056,"{'question_concept': 'losing weight', 'choices': [{'label': 'A', 'text': 'increased energy'}, {'label': 'B', 'text': 'healthier'}, {'label': 'C', 'text': 'loose skin'}, {'label': 'D', 'text': 'beauty'}, {'label': 'E', 'text': 'death'}], 'stem': 'What is a good result of losing weight?'}",losing weight,"[{'label': 'A', 'text': 'increased energy'}, {'label': 'B', 'text': 'healthier'}, {'label': 'C', 'text': 'loose skin'}, {'label': 'D', 'text': 'beauty'}, {'label': 'E', 'text': 'death'}]",What is a good result of losing weight?
B,51a4eef10d18d85f8bb3d1037d6db244,"{'question_concept': 'pictures', 'choices': [{'label': 'A', 'text': 'window'}, {'label': 'B', 'text': 'art show'}, {'label': 'C', 'text': 'trunk'}, {'label': 'D', 'text': 'newspaper'}, {'label': 'E', 'text': 'books'}], 'stem': 'where do people go to view famous pictures?'}",pictures,"[{'label': 'A', 'text': 'window'}, {'label': 'B', 'text': 'art show'}, {'label': 'C', 'text': 'trunk'}, {'label': 'D', 'text': 'newspaper'}, {'label': 'E', 'text': 'books'}]",where do people go to view famous pictures?
A,8c3e27a26a4c7482ab1639d8f9b557b8,"{'question_concept': 'earth', 'choices': [{'label': 'A', 'text': 'tree'}, {'label': 'B', 'text': 'orbit'}, {'label': 'C', 'text': 'pressure'}, {'label': 'D', 'text': 'space'}, {'label': 'E', 'text': 'solar system'}], 'stem': 'What type of plant is the tallest found on earth?'}",earth,"[{'label': 'A', 'text': 'tree'}, {'label': 'B', 'text': 'orbit'}, {'label': 'C', 'text': 'pressure'}, {'label': 'D', 'text': 'space'}, {'label': 'E', 'text': 'solar system'}]",What type of plant is the tallest found on earth?
E,d8c570d0c7b16b513c20857dfbd7509e,"{'question_concept': 'company', 'choices': [{'label': 'A', 'text': 'have coffee'}, {'label': 'B', 'text': 'mail clients'}, {'label': 'C', 'text': 'commit crime'}, {'label': 'D', 'text': 'own factory'}, {'label': 'E', 'text': 'pay employees'}], 'stem': ""The company was very cheap.  The didn't do what?""}",company,"[{'label': 'A', 'text': 'have coffee'}, {'label': 'B', 'text': 'mail clients'}, {'label': 'C', 'text': 'commit crime'}, {'label': 'D', 'text': 'own factory'}, {'label': 'E', 'text': 'pay employees'}]",The company was very cheap.  The didn't do what?
E,c4ddf7c8914789ed49147eeeb7055784,"{'question_concept': 'moon', 'choices': [{'label': 'A', 'text': 'magic'}, {'label': 'B', 'text': 'outer space'}, {'label': 'C', 'text': 'air'}, {'label': 'D', 'text': 'universe'}, {'label': 'E', 'text': 'night sky'}], 'stem': 'The moon was seen surrounded by stars, when was it seen by people?'}",moon,"[{'label': 'A', 'text': 'magic'}, {'label': 'B', 'text': 'outer space'}, {'label': 'C', 'text': 'air'}, {'label': 'D', 'text': 'universe'}, {'label': 'E', 'text': 'night sky'}]","The moon was seen surrounded by stars, when was it seen by people?"
C,64b6e39a574a0f475ac116021bdf6c99,"{'question_concept': 'school', 'choices': [{'label': 'A', 'text': 'residential neighborhood'}, {'label': 'B', 'text': 'mosque'}, {'label': 'C', 'text': 'every city'}, {'label': 'D', 'text': 'prague'}, {'label': 'E', 'text': 'community'}], 'stem': 'Where should you find a school in?'}",school,"[{'label': 'A', 'text': 'residential neighborhood'}, {'label': 'B', 'text': 'mosque'}, {'label': 'C', 'text': 'every city'}, {'label': 'D', 'text': 'prague'}, {'label': 'E', 'text': 'community'}]",Where should you find a school in?
E,2bb50f90416e95f587a4dcb1b1a4f726,"{'question_concept': 'kissing', 'choices': [{'label': 'A', 'text': 'herpes'}, {'label': 'B', 'text': 'sexual stimulation'}, {'label': 'C', 'text': 'catch cold'}, {'label': 'D', 'text': 'outburst'}, {'label': 'E', 'text': 'get cold'}], 'stem': 'What can happen when kissing outside?'}",kissing,"[{'label': 'A', 'text': 'herpes'}, {'label': 'B', 'text': 'sexual stimulation'}, {'label': 'C', 'text': 'catch cold'}, {'label': 'D', 'text': 'outburst'}, {'label': 'E', 'text': 'get cold'}]",What can happen when kissing outside?
C,251e237360e6603f030430c9807a357e,"{'question_concept': 'soft', 'choices': [{'label': 'A', 'text': 'harsh'}, {'label': 'B', 'text': 'crazy'}, {'label': 'C', 'text': 'sensible'}, {'label': 'D', 'text': 'abrasive'}, {'label': 'E', 'text': 'hard'}], 'stem': 'When picking an object for a baby something soft is the what option?'}",soft,"[{'label': 'A', 'text': 'harsh'}, {'label': 'B', 'text': 'crazy'}, {'label': 'C', 'text': 'sensible'}, {'label': 'D', 'text': 'abrasive'}, {'label': 'E', 'text': 'hard'}]",When picking an object for a baby something soft is the what option?
A,7042f9b4f9cb95e6cad8f04ecd713636,"{'question_concept': 'cat', 'choices': [{'label': 'A', 'text': 'houseplant'}, {'label': 'B', 'text': 'bathtub'}, {'label': 'C', 'text': 'dumpsters'}, {'label': 'D', 'text': 'urban neighborhood'}, {'label': 'E', 'text': 'floor'}], 'stem': 'When their litter box is full where might a cat go to the bathroom?'}",cat,"[{'label': 'A', 'text': 'houseplant'}, {'label': 'B', 'text': 'bathtub'}, {'label': 'C', 'text': 'dumpsters'}, {'label': 'D', 'text': 'urban neighborhood'}, {'label': 'E', 'text': 'floor'}]",When their litter box is full where might a cat go to the bathroom?
E,691cd808e03a6c767e431fc1bac272cf,"{'question_concept': 'beaver', 'choices': [{'label': 'A', 'text': 'woodlands'}, {'label': 'B', 'text': 'cage'}, {'label': 'C', 'text': 'canada'}, {'label': 'D', 'text': 'ontario'}, {'label': 'E', 'text': 'zoo'}], 'stem': ""Where is a place a beaver wouldn't feel free?""}",beaver,"[{'label': 'A', 'text': 'woodlands'}, {'label': 'B', 'text': 'cage'}, {'label': 'C', 'text': 'canada'}, {'label': 'D', 'text': 'ontario'}, {'label': 'E', 'text': 'zoo'}]",Where is a place a beaver wouldn't feel free?
B,f9542c9fd143823feb841797959b0286,"{'question_concept': 'talking to', 'choices': [{'label': 'A', 'text': 'get tired of'}, {'label': 'B', 'text': 'social life'}, {'label': 'C', 'text': 'friendship'}, {'label': 'D', 'text': 'talking'}, {'label': 'E', 'text': 'eye contact'}], 'stem': ""If you're going out often and talking to a lot of people you have an active what?""}",talking to,"[{'label': 'A', 'text': 'get tired of'}, {'label': 'B', 'text': 'social life'}, {'label': 'C', 'text': 'friendship'}, {'label': 'D', 'text': 'talking'}, {'label': 'E', 'text': 'eye contact'}]",If you're going out often and talking to a lot of people you have an active what?
C,da846731bbee2b7c6e440c7a6262a21d,"{'question_concept': 'eating', 'choices': [{'label': 'A', 'text': 'cooking'}, {'label': 'B', 'text': 'watching tv'}, {'label': 'C', 'text': 'chewing'}, {'label': 'D', 'text': 'drink'}, {'label': 'E', 'text': 'bite'}], 'stem': 'How does someone begin eating?'}",eating,"[{'label': 'A', 'text': 'cooking'}, {'label': 'B', 'text': 'watching tv'}, {'label': 'C', 'text': 'chewing'}, {'label': 'D', 'text': 'drink'}, {'label': 'E', 'text': 'bite'}]",How does someone begin eating?
B,2713983edc30c6391b9aa4ef2cb7ed79,"{'question_concept': 'blowfish', 'choices': [{'label': 'A', 'text': 'books'}, {'label': 'B', 'text': 'france'}, {'label': 'C', 'text': 'fish market'}, {'label': 'D', 'text': 'atlantic ocean'}, {'label': 'E', 'text': 'cuba'}], 'stem': 'Sam went to Paris where he ordered a blowfish at a sushi place.  Where was Sam?'}",blowfish,"[{'label': 'A', 'text': 'books'}, {'label': 'B', 'text': 'france'}, {'label': 'C', 'text': 'fish market'}, {'label': 'D', 'text': 'atlantic ocean'}, {'label': 'E', 'text': 'cuba'}]",Sam went to Paris where he ordered a blowfish at a sushi place.  Where was Sam?
B,b6445bf9534fdd9470f129b74633361e,"{'question_concept': 'crab', 'choices': [{'label': 'A', 'text': 'tide pool'}, {'label': 'B', 'text': 'beach sand'}, {'label': 'C', 'text': 'tidepools'}, {'label': 'D', 'text': 'current'}, {'label': 'E', 'text': 'cooking pot'}], 'stem': 'The crab was scuttling but strained when he moved, what was impeding him?'}",crab,"[{'label': 'A', 'text': 'tide pool'}, {'label': 'B', 'text': 'beach sand'}, {'label': 'C', 'text': 'tidepools'}, {'label': 'D', 'text': 'current'}, {'label': 'E', 'text': 'cooking pot'}]","The crab was scuttling but strained when he moved, what was impeding him?"
D,7517e985f54fa0fad7b5b31f90067e2b,"{'question_concept': 'going to work', 'choices': [{'label': 'A', 'text': 'anger'}, {'label': 'B', 'text': 'bad mood'}, {'label': 'C', 'text': 'poor judgement'}, {'label': 'D', 'text': 'exhaustion'}, {'label': 'E', 'text': 'boredom'}], 'stem': 'This can set in after going to work with to little sleep?'}",going to work,"[{'label': 'A', 'text': 'anger'}, {'label': 'B', 'text': 'bad mood'}, {'label': 'C', 'text': 'poor judgement'}, {'label': 'D', 'text': 'exhaustion'}, {'label': 'E', 'text': 'boredom'}]",This can set in after going to work with to little sleep?
A,770414420834aff15a491187f3177fa3,"{'question_concept': 'bee', 'choices': [{'label': 'A', 'text': 'michigan'}, {'label': 'B', 'text': 'united states'}, {'label': 'C', 'text': 'sky'}, {'label': 'D', 'text': 'china'}, {'label': 'E', 'text': 'apiary'}], 'stem': 'The bee had to be shipped down south to avoid the cold winter, where was it originally from?'}",bee,"[{'label': 'A', 'text': 'michigan'}, {'label': 'B', 'text': 'united states'}, {'label': 'C', 'text': 'sky'}, {'label': 'D', 'text': 'china'}, {'label': 'E', 'text': 'apiary'}]","The bee had to be shipped down south to avoid the cold winter, where was it originally from?"
C,9cdf0b92dab4271705594e159a8061c6,"{'question_concept': 'eat lunch', 'choices': [{'label': 'A', 'text': 'smell'}, {'label': 'B', 'text': 'have food'}, {'label': 'C', 'text': 'get food'}, {'label': 'D', 'text': 'hungry'}, {'label': 'E', 'text': 'buy food'}], 'stem': ""Sarah wants to eat lunch.  To do this she'll have to go to her kitchen and do what?""}",eat lunch,"[{'label': 'A', 'text': 'smell'}, {'label': 'B', 'text': 'have food'}, {'label': 'C', 'text': 'get food'}, {'label': 'D', 'text': 'hungry'}, {'label': 'E', 'text': 'buy food'}]",Sarah wants to eat lunch.  To do this she'll have to go to her kitchen and do what?
E,360735619fabff006efe0ee574d6f011,"{'question_concept': 'animals', 'choices': [{'label': 'A', 'text': 'get cold'}, {'label': 'B', 'text': 'move'}, {'label': 'C', 'text': 'train'}, {'label': 'D', 'text': 'reproduce asexually'}, {'label': 'E', 'text': 'travel'}], 'stem': 'Birds are animals that do a lot of what?'}",animals,"[{'label': 'A', 'text': 'get cold'}, {'label': 'B', 'text': 'move'}, {'label': 'C', 'text': 'train'}, {'label': 'D', 'text': 'reproduce asexually'}, {'label': 'E', 'text': 'travel'}]",Birds are animals that do a lot of what?
D,fb721d7949d06915a2dd6fc6ec815325,"{'question_concept': 'watching tv', 'choices': [{'label': 'A', 'text': 'brain problems'}, {'label': 'B', 'text': 'laziness'}, {'label': 'C', 'text': 'get fat'}, {'label': 'D', 'text': 'headache'}, {'label': 'E', 'text': 'laughter'}], 'stem': 'Sitting to close while watching TV can cause what sort of pain?'}",watching tv,"[{'label': 'A', 'text': 'brain problems'}, {'label': 'B', 'text': 'laziness'}, {'label': 'C', 'text': 'get fat'}, {'label': 'D', 'text': 'headache'}, {'label': 'E', 'text': 'laughter'}]",Sitting to close while watching TV can cause what sort of pain?
C,8b42ec5073c6c42c56405a8c488f9921,"{'question_concept': 'getting in shape', 'choices': [{'label': 'A', 'text': 'give up'}, {'label': 'B', 'text': 'eat more'}, {'label': 'C', 'text': 'period of recovery'}, {'label': 'D', 'text': 'dance'}, {'label': 'E', 'text': 'jogging'}], 'stem': 'When getting in shape you need to have this in between workouts?'}",getting in shape,"[{'label': 'A', 'text': 'give up'}, {'label': 'B', 'text': 'eat more'}, {'label': 'C', 'text': 'period of recovery'}, {'label': 'D', 'text': 'dance'}, {'label': 'E', 'text': 'jogging'}]",When getting in shape you need to have this in between workouts?
A,7914facfac0229988dbd1f08de595257,"{'question_concept': 'company', 'choices': [{'label': 'A', 'text': 'liquidated'}, {'label': 'B', 'text': 'own resources'}, {'label': 'C', 'text': 'branch out'}, {'label': 'D', 'text': 'commit crime'}, {'label': 'E', 'text': 'game over'}], 'stem': 'what happens to a company when it is bankrupt?'}",company,"[{'label': 'A', 'text': 'liquidated'}, {'label': 'B', 'text': 'own resources'}, {'label': 'C', 'text': 'branch out'}, {'label': 'D', 'text': 'commit crime'}, {'label': 'E', 'text': 'game over'}]",what happens to a company when it is bankrupt?
B,2174d8212a045788de8db5e44da0748b,"{'question_concept': 'horse', 'choices': [{'label': 'A', 'text': 'painting'}, {'label': 'B', 'text': 'triple crown'}, {'label': 'C', 'text': 'apples'}, {'label': 'D', 'text': 'race track'}, {'label': 'E', 'text': 'kentucky derby'}], 'stem': 'What can a horse winning many races hope to achieve?'}",horse,"[{'label': 'A', 'text': 'painting'}, {'label': 'B', 'text': 'triple crown'}, {'label': 'C', 'text': 'apples'}, {'label': 'D', 'text': 'race track'}, {'label': 'E', 'text': 'kentucky derby'}]",What can a horse winning many races hope to achieve?
B,0656e14fca85810167df8c08faac2d6b,"{'question_concept': 'reading letter', 'choices': [{'label': 'A', 'text': 'get news'}, {'label': 'B', 'text': 'though'}, {'label': 'C', 'text': 'answer'}, {'label': 'D', 'text': 'realization'}, {'label': 'E', 'text': 'have fun'}], 'stem': 'If I am reading a letter and want to find an illogically spelled word, what might I look for?'}",reading letter,"[{'label': 'A', 'text': 'get news'}, {'label': 'B', 'text': 'though'}, {'label': 'C', 'text': 'answer'}, {'label': 'D', 'text': 'realization'}, {'label': 'E', 'text': 'have fun'}]","If I am reading a letter and want to find an illogically spelled word, what might I look for?"
E,aa2203e660cf4cd7817f41a8f12d1580,"{'question_concept': 'small dog', 'choices': [{'label': 'A', 'text': 'europe'}, {'label': 'B', 'text': 'front porch'}, {'label': 'C', 'text': 'heat'}, {'label': 'D', 'text': 'basket'}, {'label': 'E', 'text': 'outside'}], 'stem': 'Where do you bring a small dog if it needs to relieve itself?'}",small dog,"[{'label': 'A', 'text': 'europe'}, {'label': 'B', 'text': 'front porch'}, {'label': 'C', 'text': 'heat'}, {'label': 'D', 'text': 'basket'}, {'label': 'E', 'text': 'outside'}]",Where do you bring a small dog if it needs to relieve itself?
B,6c11e6864d92bc52a41de7a9959a120a,"{'question_concept': 'bathroom', 'choices': [{'label': 'A', 'text': 'playground'}, {'label': 'B', 'text': 'school'}, {'label': 'C', 'text': 'at hotel'}, {'label': 'D', 'text': 'theater'}, {'label': 'E', 'text': 'convenience store'}], 'stem': 'The best place for the troublemaker to sneak a smoke while he was in where, was in the bathroom?'}",bathroom,"[{'label': 'A', 'text': 'playground'}, {'label': 'B', 'text': 'school'}, {'label': 'C', 'text': 'at hotel'}, {'label': 'D', 'text': 'theater'}, {'label': 'E', 'text': 'convenience store'}]","The best place for the troublemaker to sneak a smoke while he was in where, was in the bathroom?"
A,a199bdec752f681ecdc7f5994848383c,"{'question_concept': 'people', 'choices': [{'label': 'A', 'text': 'hate each other'}, {'label': 'B', 'text': 'welcome change'}, {'label': 'C', 'text': 'make choice'}, {'label': 'D', 'text': 'adapt'}, {'label': 'E', 'text': 'talk to each other'}], 'stem': 'In a volatile social climate people will tend to what?'}",people,"[{'label': 'A', 'text': 'hate each other'}, {'label': 'B', 'text': 'welcome change'}, {'label': 'C', 'text': 'make choice'}, {'label': 'D', 'text': 'adapt'}, {'label': 'E', 'text': 'talk to each other'}]",In a volatile social climate people will tend to what?
B,de66e0357bf7af5de53bcc9fbed593a4,"{'question_concept': 'fragile', 'choices': [{'label': 'A', 'text': 'undestroyable'}, {'label': 'B', 'text': 'unbreakable'}, {'label': 'C', 'text': 'indestructible'}, {'label': 'D', 'text': 'durable'}, {'label': 'E', 'text': 'invisible'}], 'stem': 'In the movie a fragile man is causing accidents, his hope is to find a person opposite of him who is what?'}",fragile,"[{'label': 'A', 'text': 'undestroyable'}, {'label': 'B', 'text': 'unbreakable'}, {'label': 'C', 'text': 'indestructible'}, {'label': 'D', 'text': 'durable'}, {'label': 'E', 'text': 'invisible'}]","In the movie a fragile man is causing accidents, his hope is to find a person opposite of him who is what?"
D,5d37ab9a2ff7a3b9deab7685a57fad5f,"{'question_concept': 'dead body', 'choices': [{'label': 'A', 'text': 'funeral'}, {'label': 'B', 'text': 'closet'}, {'label': 'C', 'text': 'container'}, {'label': 'D', 'text': 'trunk'}, {'label': 'E', 'text': 'basement'}], 'stem': 'Where do you hide a dead body?'}",dead body,"[{'label': 'A', 'text': 'funeral'}, {'label': 'B', 'text': 'closet'}, {'label': 'C', 'text': 'container'}, {'label': 'D', 'text': 'trunk'}, {'label': 'E', 'text': 'basement'}]",Where do you hide a dead body?
D,ac9bc1464aea9075456a0fd179b2961c,"{'question_concept': 'friends', 'choices': [{'label': 'A', 'text': 'go somewhere'}, {'label': 'B', 'text': 'tell story'}, {'label': 'C', 'text': 'going out at night'}, {'label': 'D', 'text': 'jump rope'}, {'label': 'E', 'text': 'teach'}], 'stem': 'What will friends in elementary school likely do?'}",friends,"[{'label': 'A', 'text': 'go somewhere'}, {'label': 'B', 'text': 'tell story'}, {'label': 'C', 'text': 'going out at night'}, {'label': 'D', 'text': 'jump rope'}, {'label': 'E', 'text': 'teach'}]",What will friends in elementary school likely do?
C,02f37ac2b719d7890f8d200ed91cb78d,"{'question_concept': 'live', 'choices': [{'label': 'A', 'text': 'animated'}, {'label': 'B', 'text': 'broadcast'}, {'label': 'C', 'text': 'recorded'}, {'label': 'D', 'text': 'mixed'}, {'label': 'E', 'text': 'neutral'}], 'stem': ""The band was performing live, but if you looked close enough you'd realize the sound was previously what?""}",live,"[{'label': 'A', 'text': 'animated'}, {'label': 'B', 'text': 'broadcast'}, {'label': 'C', 'text': 'recorded'}, {'label': 'D', 'text': 'mixed'}, {'label': 'E', 'text': 'neutral'}]","The band was performing live, but if you looked close enough you'd realize the sound was previously what?"
E,b2ebe8d330edb1994eea91aebea5d072,"{'question_concept': 'lying', 'choices': [{'label': 'A', 'text': 'confusion'}, {'label': 'B', 'text': 'being found out'}, {'label': 'C', 'text': 'hurt feelings'}, {'label': 'D', 'text': 'being fired'}, {'label': 'E', 'text': 'trouble'}], 'stem': ""Sahmbi was  lying about the fugitive's location.  He was lying because he wanted to avoid legal what?""}",lying,"[{'label': 'A', 'text': 'confusion'}, {'label': 'B', 'text': 'being found out'}, {'label': 'C', 'text': 'hurt feelings'}, {'label': 'D', 'text': 'being fired'}, {'label': 'E', 'text': 'trouble'}]",Sahmbi was  lying about the fugitive's location.  He was lying because he wanted to avoid legal what?
E,7a2905db3f9bb0872523f5d9bf759b91,"{'question_concept': 'defeat', 'choices': [{'label': 'A', 'text': 'win at jenga'}, {'label': 'B', 'text': 'victory'}, {'label': 'C', 'text': 'lose'}, {'label': 'D', 'text': 'winning'}, {'label': 'E', 'text': 'conquer'}], 'stem': ""The great general had suffered his first defeat, it now seemed there was truly nobody his opponent couldn't what?""}",defeat,"[{'label': 'A', 'text': 'win at jenga'}, {'label': 'B', 'text': 'victory'}, {'label': 'C', 'text': 'lose'}, {'label': 'D', 'text': 'winning'}, {'label': 'E', 'text': 'conquer'}]","The great general had suffered his first defeat, it now seemed there was truly nobody his opponent couldn't what?"
E,1533dc3403bcdb227dec51c94aae7838,"{'question_concept': 'head', 'choices': [{'label': 'A', 'text': 'base'}, {'label': 'B', 'text': 'hands'}, {'label': 'C', 'text': 'foot'}, {'label': 'D', 'text': 'subordinate'}, {'label': 'E', 'text': 'point'}], 'stem': 'If someone has a head they will also have the ability to what?'}",head,"[{'label': 'A', 'text': 'base'}, {'label': 'B', 'text': 'hands'}, {'label': 'C', 'text': 'foot'}, {'label': 'D', 'text': 'subordinate'}, {'label': 'E', 'text': 'point'}]",If someone has a head they will also have the ability to what?
A,59e8fce0c310219ec36dd3d839cff305,"{'question_concept': 'moving car', 'choices': [{'label': 'A', 'text': 'strength'}, {'label': 'B', 'text': 'energy'}, {'label': 'C', 'text': 'force'}, {'label': 'D', 'text': 'drive'}, {'label': 'E', 'text': 'mood'}], 'stem': 'They began moving car with their bare hands to save the child trapped underneath, nobody could explain where they got the what to do so?'}",moving car,"[{'label': 'A', 'text': 'strength'}, {'label': 'B', 'text': 'energy'}, {'label': 'C', 'text': 'force'}, {'label': 'D', 'text': 'drive'}, {'label': 'E', 'text': 'mood'}]","They began moving car with their bare hands to save the child trapped underneath, nobody could explain where they got the what to do so?"
E,cfb1ab614e5b59c93b9874181dbf89e7,"{'question_concept': 'love', 'choices': [{'label': 'A', 'text': 'kiss'}, {'label': 'B', 'text': 'ask questions'}, {'label': 'C', 'text': 'please parents'}, {'label': 'D', 'text': 'procreate'}, {'label': 'E', 'text': 'forgive'}], 'stem': 'What do you do to someone easily when you love them?'}",love,"[{'label': 'A', 'text': 'kiss'}, {'label': 'B', 'text': 'ask questions'}, {'label': 'C', 'text': 'please parents'}, {'label': 'D', 'text': 'procreate'}, {'label': 'E', 'text': 'forgive'}]",What do you do to someone easily when you love them?
D,9655ea1f431673b1a79151143b3b1c75,"{'question_concept': 'hot dogs', 'choices': [{'label': 'A', 'text': 'costume shop'}, {'label': 'B', 'text': 'park'}, {'label': 'C', 'text': 'bowling alley'}, {'label': 'D', 'text': 'disneyland'}, {'label': 'E', 'text': 'sporting event'}], 'stem': ""John and James wanted to eat hot dogs but weren't sure where they could by some.  They asked a costumed person for directions.  This was their first trip where?""}",hot dogs,"[{'label': 'A', 'text': 'costume shop'}, {'label': 'B', 'text': 'park'}, {'label': 'C', 'text': 'bowling alley'}, {'label': 'D', 'text': 'disneyland'}, {'label': 'E', 'text': 'sporting event'}]",John and James wanted to eat hot dogs but weren't sure where they could by some.  They asked a costumed person for directions.  This was their first trip where?
D,c7cbb6d09da597b1d5b4127e0841b89b,"{'question_concept': 'people', 'choices': [{'label': 'A', 'text': 'commit crimes'}, {'label': 'B', 'text': 'part company'}, {'label': 'C', 'text': 'hungry'}, {'label': 'D', 'text': 'go swimming'}, {'label': 'E', 'text': 'believe in god'}], 'stem': 'What would people do if they want to have fun?'}",people,"[{'label': 'A', 'text': 'commit crimes'}, {'label': 'B', 'text': 'part company'}, {'label': 'C', 'text': 'hungry'}, {'label': 'D', 'text': 'go swimming'}, {'label': 'E', 'text': 'believe in god'}]",What would people do if they want to have fun?
A,35a06b4b2c6b13786c5c668d91fc13db,"{'question_concept': 'learn', 'choices': [{'label': 'A', 'text': 'teach'}, {'label': 'B', 'text': 'order chinese takaway'}, {'label': 'C', 'text': 'remember information'}, {'label': 'D', 'text': 'quit'}, {'label': 'E', 'text': 'forget'}], 'stem': 'Josh loved to learn.  Because of that, his mother put in effort to do what to him?'}",learn,"[{'label': 'A', 'text': 'teach'}, {'label': 'B', 'text': 'order chinese takaway'}, {'label': 'C', 'text': 'remember information'}, {'label': 'D', 'text': 'quit'}, {'label': 'E', 'text': 'forget'}]","Josh loved to learn.  Because of that, his mother put in effort to do what to him?"
B,8ac8bb247b57c63794da976f427047cd,"{'question_concept': 'skin', 'choices': [{'label': 'A', 'text': 'good health'}, {'label': 'B', 'text': 'fruit'}, {'label': 'C', 'text': 'body'}, {'label': 'D', 'text': 'people'}, {'label': 'E', 'text': 'none'}], 'stem': 'What is it healthy to eat the skin of?'}",skin,"[{'label': 'A', 'text': 'good health'}, {'label': 'B', 'text': 'fruit'}, {'label': 'C', 'text': 'body'}, {'label': 'D', 'text': 'people'}, {'label': 'E', 'text': 'none'}]",What is it healthy to eat the skin of?
D,7fbf98366ef6fe4bda9c0b5341fe1ffb,"{'question_concept': 'wrestle', 'choices': [{'label': 'A', 'text': 'train yourself'}, {'label': 'B', 'text': 'have strength'}, {'label': 'C', 'text': 'choke hold'}, {'label': 'D', 'text': 'strong'}, {'label': 'E', 'text': 'take lessons'}], 'stem': 'A lot of people who wrestle are very?'}",wrestle,"[{'label': 'A', 'text': 'train yourself'}, {'label': 'B', 'text': 'have strength'}, {'label': 'C', 'text': 'choke hold'}, {'label': 'D', 'text': 'strong'}, {'label': 'E', 'text': 'take lessons'}]",A lot of people who wrestle are very?
